01-ai | 01.AI | AI API / SDK for Developers | usage | free tier | high lock-in
y42 | Y42 | Data Integration / ETL / Reverse ETL | subscription | no free tier | medium lock-in
yaak | Yaak | Developer Portals / API Management | freemium | free tier | low lock-in
yahoo-japan-api | Yahoo! JAPAN Web API | Search / Recommendations API | free | free tier | medium lock-in
yandex-ads | Yandex Ads | Code Assistants / Agent Tooling | subscription | no free tier | medium lock-in
yandex-cloud | Yandex Cloud | CDN / Edge / Acceleration | usage | free tier | medium lock-in
yandex-mobile-ads | Yandex Mobile Ads | Ad Monetization / Mediation | free | free tier | medium lock-in
yapf | YAPF | Code Assistants / Agent Tooling | free | free tier | low lock-in
yapi | YApi | Developer Portals / API Management | free | free tier | low lock-in
yapily | Yapily | Data Integration / ETL / Reverse ETL | subscription | no free tier | medium lock-in
yappli | Yappli | No-code / Low-code App Builders | subscription | no free tier | high lock-in
yargs | yargs | Backend-as-a-Service | free | free tier | low lock-in
yarn | Yarn | CDN / Edge / Acceleration | free | free tier | low lock-in
yarn-spinner | Yarn Spinner | Game Development Tools | free | free tier | low lock-in
yarp | YARP | Developer Portals / API Management | free | free tier | low lock-in
yayoi | Yayoi | Invoicing / Taxes / Sales Tax | subscription | no free tier | high lock-in
yazi | Yazi | Object Storage / Media API | free | free tier | low lock-in
yazi-terminal | Yazi Terminal | Object Storage / Media API | free | free tier | low lock-in
ydata | YData | AI API / SDK for Developers | freemium | free tier | medium lock-in
yellow-ai | Yellow.ai | AI API / SDK for Developers | custom | no free tier | high lock-in
yepcode | YepCode | Data Integration / ETL / Reverse ETL | freemium | free tier | medium lock-in
yeswehack | YesWeHack | Security Scanning / Mobile App Sec | custom | no free tier | medium lock-in
yext | Yext | Search / Recommendations API | custom | no free tier | high lock-in
yfinance | yfinance | Data Integration / ETL / Reverse ETL | free | free tier | low lock-in
yieldmo | YieldMo | Ad Monetization / Mediation | custom | no free tier | medium lock-in
yjs | Yjs | Real-time / WebSocket Infrastructure | free | free tier | low lock-in
yoco | Yoco | Payment Gateway / PSP | usage | no free tier | medium lock-in
yodel-mobile | Yodel Mobile | App Growth Tooling (ASO) | custom | no free tier | low lock-in
yodlee | Yodlee | KYC / KYB / AML API | seat | no free tier | high lock-in
yotascale | Yotascale | CDN / Edge / Acceleration | custom | no free tier | medium lock-in
you-com | You.com | AI API / SDK for Developers | freemium | free tier | low lock-in
youcanbook-me | YouCanBook.me | No-code / Low-code App Builders | freemium | free tier | low lock-in
younium | Younium | Subscription Billing | subscription | no free tier | high lock-in
yousign | Yousign | Compliance Automation | subscription | free tier | medium lock-in
youtrack-jetbrains | YouTrack (JetBrains) | CRM / Lifecycle Automation | freemium | free tier | medium lock-in
youzan | Youzan | No-code / Low-code App Builders | subscription | no free tier | high lock-in
yubihsm | YubiHSM | Secrets Management | subscription | no free tier | medium lock-in
yugabyte | Yugabyte | DBaaS / Serverless Databases | freemium | free tier | low lock-in
yugabytedb | YugabyteDB | DBaaS / Serverless Databases | freemium, $125 | free tier | low lock-in
yuma-ai | Yuma AI | Customer Support SDK / In-app Helpdesk | subscription | no free tier | medium lock-in
yuno | Yuno | Payments Orchestration | unknown, $79 | no free tier | low lock-in
z-ai-zhipu | Z.ai (Zhipu) | AI API / SDK for Developers | usage | free tier | low lock-in
zabbix | Zabbix | Performance Monitoring / APM | seat | no free tier | low lock-in
zammad | Zammad | Customer Support SDK / In-app Helpdesk | freemium | free tier | low lock-in
zamp | Zamp | Invoicing / Taxes / Sales Tax | subscription | no free tier | medium lock-in
zapier | Zapier | Data Integration / ETL / Reverse ETL | freemium | free tier | medium lock-in
zappa | Zappa | CDN / Edge / Acceleration | free | free tier | low lock-in
zappar | Zappar | AI API / SDK for Developers | freemium | free tier | medium lock-in
zarf | Zarf | CDN / Edge / Acceleration | free | free tier | low lock-in
zarr | Zarr | Data Integration / ETL / Reverse ETL | free | free tier | low lock-in
zatanna | Zatanna | AI API / SDK for Developers | unknown | no free tier | medium lock-in
zbrush | ZBrush | Game Development Tools | subscription | no free tier | medium lock-in
zeabur | Zeabur | CDN / Edge / Acceleration | freemium, $0 | free tier | medium lock-in
zeals | Zeals | Customer Support SDK / In-app Helpdesk | custom | no free tier | high lock-in
zed | Zed | AI API / SDK for Developers | freemium, $0 | free tier | low lock-in
zed-editor | Zed Editor | Code Assistants / Agent Tooling | free | free tier | low lock-in
zefr-cortex | Zefr Cortex | Content Moderation API | custom | no free tier | medium lock-in
zegocloud | ZegoCloud | Real-time / WebSocket Infrastructure | usage | free tier | medium lock-in
zellij | Zellij | CDN / Edge / Acceleration | free | free tier | low lock-in
zencoder | Zencoder | AI API / SDK for Developers | freemium | free tier | medium lock-in
zendesk | Zendesk | Release / App Store Operations | subscription, $19/month | no free tier | high lock-in
zenduty | Zenduty | Crash Reporting | freemium | free tier | medium lock-in
zenhub | Zenhub | CI/CD for Applications | subscription | no free tier | medium lock-in
zenko | Zenko | Object Storage / Media API | free | free tier | low lock-in
zenlayer | Zenlayer | CDN / Edge / Acceleration | usage | no free tier | medium lock-in
zenml | ZenML | AI API / SDK for Developers | freemium | free tier | low lock-in
zenn | Zenn | Search / Recommendations API | free | free tier | low lock-in
zenrows | ZenRows | Data Integration / ETL / Reverse ETL | freemium | free tier | medium lock-in
zenskar | Zenskar | Subscription Billing | usage | no free tier | high lock-in
zenvia | Zenvia | Messaging API (Email / SMS / Voice) | usage | no free tier | medium lock-in
zephyr-huggingface | Zephyr (HuggingFace) | AI API / SDK for Developers | free | free tier | low lock-in
zephyr-scale | Zephyr Scale | Code Assistants / Agent Tooling | subscription | no free tier | high lock-in
zeplin | Zeplin | No-code / Low-code App Builders | freemium | free tier | medium lock-in
zeplo | Zeplo | Backend-as-a-Service | freemium | free tier | medium lock-in
zeptomail | Zeptomail | Messaging API (Email / SMS / Voice) | usage | free tier | medium lock-in
zero-hash | Zero Hash | Payment Gateway / PSP | custom | no free tier | high lock-in
zeroheight | Zeroheight | Developer Portals / API Management | subscription | no free tier | medium lock-in
zeromq | ZeroMQ | Real-time / WebSocket Infrastructure | free | free tier | low lock-in
zeropath | ZeroPath | Security Scanning / Mobile App Sec | custom | no free tier | medium lock-in
zerossl | ZeroSSL | Secrets Management | freemium | free tier | low lock-in
zerotier | ZeroTier | CDN / Edge / Acceleration | freemium | free tier | low lock-in
zerve-ai | Zerve | AI API / SDK for Developers | freemium | free tier | medium lock-in
zesty | Zesty | Observability / Logging / Tracing | subscription | no free tier | medium lock-in
zhipu-ai | Zhipu AI | AI API / SDK for Developers | usage | free tier | low lock-in
zhipu-chatglm | LangChainChat 智普清言 | AI API / SDK for Developers | free | free tier | low lock-in
zigbang-tech | ZIGBANG Tech | Maps / Geolocation / Routing | unknown | no free tier | medium lock-in
zilliz | Zilliz | DBaaS / Serverless Databases | freemium | free tier | low lock-in
zimperium | Zimperium | Security Scanning / Mobile App Sec | custom | no free tier | high lock-in
zinc | Zinc | Search / Recommendations API | free | free tier | low lock-in
zipkin | Zipkin | Observability / Logging / Tracing | free | free tier | low lock-in
zipy | Zipy | Session Replay / UX Analytics | subscription, $0/month | free tier | medium lock-in
zitadel | ZITADEL | Identity / Auth / User Management | subscription, $1 | free tier | low lock-in
zod | Zod | Developer Portals / API Management | free | free tier | low lock-in
zodios | Zodios | Developer Portals / API Management | free | free tier | low lock-in
zoho-creator | Zoho Creator | No-code / Low-code App Builders | freemium | free tier | high lock-in
zot-registry | Zot Registry | CDN / Edge / Acceleration | free | free tier | low lock-in
zoxide | zoxide | Maps / Geolocation / Routing | free | free tier | low lock-in
zrok | Zrok | CDN / Edge / Acceleration | freemium | free tier | low lock-in
zscaler | Zscaler | Security Scanning / Mobile App Sec | custom | no free tier | high lock-in
zudoku | Zudoku | Developer Portals / API Management | free | free tier | low lock-in
zulip | Zulip | CRM / Lifecycle Automation | freemium | free tier | low lock-in
zuora | Zuora | Subscription Billing | subscription, $499 | no free tier | high lock-in
zuplo | Zuplo | Data Integration / ETL / Reverse ETL | subscription, $0 | free tier | medium lock-in
zus-health | Zus Health | Data Integration / ETL / Reverse ETL | custom | no free tier | medium lock-in
zustand | Zustand | Backend-as-a-Service | free | free tier | low lock-in
zuul | Zuul | Developer Portals / API Management | free | free tier | low lock-in
zx | zx | CDN / Edge / Acceleration | free | free tier | low lock-in
zyntra | Zyntra | Messaging API (Email / SMS / Voice) | unknown | no free tier | medium lock-in

--- MCP SERVERS ---
filesystem | Filesystem | MCP Server | other | official
fetch | Fetch | MCP Server | search | official
git | Git | MCP Server | code | official
memory | Memory | MCP Server | ai | official
sequential-thinking | Sequential Thinking | MCP Server | ai | official
time | Time | MCP Server | other | official
everything | Everything | MCP Server | other | official
brave-search | Brave Search | MCP Server | search | official
postgresql | PostgreSQL | MCP Server | database | official
puppeteer | Puppeteer | MCP Server | code | official
slack | Slack | MCP Server | communication | official
google-drive | Google Drive | MCP Server | productivity | official
google-maps | Google Maps | MCP Server | other | official
github | GitHub | MCP Server | code | official
aws-mcp | AWS MCP Servers | MCP Server | cloud | official
supabase | Supabase | MCP Server | database | official
stripe | Stripe | MCP Server | other | official
cloudflare | Cloudflare | MCP Server | cloud | official
sentry | Sentry | MCP Server | devops | official
grafana | Grafana | MCP Server | devops | official
datadog | Datadog | MCP Server | devops | official
terraform | Terraform | MCP Server | devops | official
notion | Notion | MCP Server | productivity | official
asana | Asana | MCP Server | productivity | official
linear | Linear | MCP Server | productivity | community
playwright | Playwright | MCP Server | code | official
firecrawl | Firecrawl | MCP Server | search | official
exa | Exa | MCP Server | search | official
tavily | Tavily | MCP Server | search | official
context7 | Context7 | MCP Server | code | official
browserbase | Browserbase | MCP Server | code | official
docker | Docker | MCP Server | devops | official
kubernetes | Kubernetes | MCP Server | devops | community
mongodb | MongoDB | MCP Server | database | official
redis | Redis | MCP Server | database | official
vercel | Vercel | MCP Server | cloud | official
shopify | Shopify | MCP Server | other | official
hubspot | HubSpot | MCP Server | other | community
salesforce | Salesforce | MCP Server | other | community
zapier | Zapier | MCP Server | productivity | official
obsidian | Obsidian | MCP Server | productivity | community
airtable | Airtable | MCP Server | database | community
google-calendar | Google Calendar | MCP Server | productivity | community
gmail | Gmail | MCP Server | communication | community
google-sheets | Google Sheets | MCP Server | productivity | community
discord | Discord | MCP Server | communication | community
twilio | Twilio | MCP Server | communication | official
jira | Jira | MCP Server | productivity | official
confluence | Confluence | MCP Server | productivity | official
snowflake | Snowflake | MCP Server | database | official
mysql | MySQL | MCP Server | database | community
sqlite | SQLite | MCP Server | database | official
hugging-face | Hugging Face | MCP Server | ai | community
